ell,tau,EE,TE,TT
26,0.0629,4.075928222865081e-17,7.797993273329257e-16,1.8575612151985943e-12
27,0.0629,4.1464011335035623e-17,7.102825769329383e-16,1.7360224483083941e-12
28,0.0629,4.216079791461288e-17,6.377109963660825e-16,1.626741667480604e-12
29,0.0629,4.2858106940055353e-17,5.62953816797551e-16,1.5282279299768394e-12
30,0.0629,4.356862268608913e-17,4.874121056809767e-16,1.4391329167269408e-12
31,0.0629,4.430189552370981e-17,4.1236841324654594e-16,1.358191987581875e-12
32,0.0629,4.5054940208991056e-17,3.386312208306681e-16,1.2844752180771143e-12
33,0.0629,4.582163759427615e-17,2.668904925463085e-16,1.2171363626692583e-12
34,0.0629,4.659668423591209e-17,1.9765696852999113e-16,1.1553818460757414e-12
35,0.0629,4.7378039506261094e-17,1.3072449301247527e-16,1.0986287740573387e-12
36,0.0629,4.816447848168921e-17,6.570768624808017e-17,1.046346922635661e-12
37,0.0629,4.8954733576469864e-17,2.2255488130706634e-18,9.980392843732715e-13
38,0.0629,4.974736655650611e-17,-6.008539742850277e-17,9.533417179965427e-13
39,0.0629,5.054089652560843e-17,-1.2158425029064172e-16,9.119232987728007e-13
40,0.0629,5.1333842587587274e-17,-1.8263010758734894e-16,8.734531019693705e-13
41,0.0629,5.2124867047869286e-17,-2.4347530512148263e-16,8.376222429686492e-13
42,0.0629,5.291320501834576e-17,-3.0394513065132234e-16,8.042099976133205e-13
43,0.0629,5.3698234812524124e-17,-3.6375810992400416e-16,7.730176818611396e-13
44,0.0629,5.447933474391185e-17,-4.2263276868666356e-16,7.438466116698616e-13
45,0.0629,5.5255836881546246e-17,-4.803306010996701e-16,7.165099250668148e-13
46,0.0629,5.602688831658403e-17,-5.367849749763309e-16,6.908680483576184e-13
47,0.0629,5.679158989571187e-17,-5.919722265431861e-16,6.667932299174648e-13
48,0.0629,5.754904246561633e-17,-6.458686920267774e-16,6.441577181215461e-13
49,0.0629,5.829834687298405e-17,-6.984507076536451e-16,6.228337613450548e-13
50,0.0629,5.903855565333042e-17,-7.49715216186125e-16,6.027034073447374e-13
2,0.0682,8.520385382924888e-15,5.762016898308028e-13,2.9269712031955427e-10
3,0.0682,5.637660730194117e-15,2.3410928791303726e-13,1.2505368680564964e-10
4,0.0682,3.2922408024430966e-15,1.2101555723954534e-13,6.915623057235243e-11
5,0.0682,1.7127455399082122e-15,6.812013972091272e-14,4.391637791881637e-11
6,0.0682,8.067590439764712e-16,3.960049998486537e-14,3.034646498775008e-11
7,0.0682,3.5943247177691555e-16,2.3435825175785592e-14,2.2255347367626124e-11
8,0.0682,1.6909555442355492e-16,1.4096109716932017e-14,1.7058207455917613e-11
9,0.0682,9.786254289162323e-17,8.713233777025986e-15,1.35237621922452e-11
10,0.0682,7.129967532283584e-17,5.671269702033122e-15,1.1007092350781504e-11
11,0.0682,5.825019409324938e-17,3.997481757770964e-15,9.152277434069745e-12
12,0.0682,4.9593529038518383e-17,3.094268112091625e-15,7.74245171579938e-12
13,0.0682,4.387858820137491e-17,2.60192205595329e-15,6.645030030064726e-12
14,0.0682,4.0707042401685383e-17,2.3103739840060792e-15,5.772916226673084e-12
15,0.0682,3.91953738486602e-17,2.104325605215523e-15,5.068580796091835e-12
16,0.0682,3.8359153057387484e-17,1.9285315725246514e-15,4.489848564369829e-12
17,0.0682,3.7696786738701365e-17,1.7599879552556509e-15,4.009175312098635e-12
18,0.0682,3.715322003107504e-17,1.5952457160071734e-15,3.6044271958352682e-12
19,0.0682,3.685533681009013e-17,1.4390255397827955e-15,3.260851165265786e-12
20,0.0682,3.691145701692733e-17,1.2967277926222907e-15,2.9663477440441753e-12
21,0.0682,3.725231809212257e-17,1.1717248544127037e-15,2.71214783173696e-12
22,0.0682,3.77705671916777e-17,1.0657920462271563e-15,2.490836012429496e-12
23,0.0682,3.8384072834102975e-17,9.763444400358107e-16,2.2970812323699358e-12
24,0.0682,3.903090180488788e-17,8.995287523169508e-16,2.1263429664156296e-12
25,0.0682,3.970469259493029e-17,8.307785266843032e-16,1.9751584416979163e-12
26,0.0682,4.04074949267922e-17,7.656073268309999e-16,1.8405046576661943e-12
27,0.0682,4.111943174428361e-17,7.005619696323393e-16,1.7200399507681079e-12
28,0.0682,4.1820864282752614e-17,6.33058331926438e-16,1.6117315038464065e-12
29,0.0682,4.251503372245165e-17,5.629552772205202e-16,1.5141005483260188e-12
30,0.0682,4.321090122985924e-17,4.907224156890844e-16,1.4258068277774186e-12
31,0.0682,4.391644523537373e-17,4.169881794850492e-16,1.345593777813799e-12
32,0.0682,4.463571322507265e-17,3.4301628867500287e-16,1.2725396022192346e-12
33,0.0682,4.53717699489534e-17,2.702292853039538e-16,1.205806196820522e-12
34,0.0682,4.612625445017548e-17,1.9979364301282642e-16,1.144607590781657e-12
35,0.0682,4.689510294454699e-17,1.3185156182621307e-16,1.0883663466154411e-12
36,0.0682,4.767282594103818e-17,6.628917336462398e-17,1.0365571601718757e-12
37,0.0682,4.845460147104106e-17,2.92389005921796e-18,9.886874909925743e-13
38,0.0682,4.92382776556348e-17,-5.870175241624824e-17,9.443958533855942e-13
39,0.0682,5.002237013832035e-17,-1.1911393757736907e-16,9.033535253506041e-13
40,0.0682,5.0805394562598676e-17,-1.7883884893973788e-16,8.652317848872724e-13
41,0.0682,5.1586090639677156e-17,-2.3829648424449015e-16,8.297240148020619e-13
42,0.0682,5.236409435158905e-17,-2.9748209813492414e-16,7.966120171286141e-13
43,0.0682,5.3139265748074044e-17,-3.562847594798796e-16,7.656996987073648e-13
44,0.0682,5.391146487887182e-17,-4.145935371481961e-16,7.367909663787498e-13
45,0.0682,5.4680333341276186e-17,-4.722756201387284e-16,7.097012447850054e-13
46,0.0682,5.544463892279748e-17,-5.291106779703946e-16,6.842920297755691e-13
47,0.0682,5.620293095850016e-17,-5.848565002921282e-16,6.604363350016787e-13
48,0.0682,5.695375878344868e-17,-6.39270876752863e-16,6.380071741145726e-13
49,0.0682,5.769567173270748e-17,-6.921115970015321e-16,6.168775607654886e-13
50,0.0682,5.842735783539219e-17,-7.432152137799372e-16,5.969302912367957e-13
2,0.0735,9.21579232772159e-15,5.777294677513404e-13,2.930943127550543e-10
3,0.0735,6.329392754798971e-15,2.366085502632304e-13,1.2497453992293346e-10
4,0.0735,3.8440731579095434e-15,1.2374894789559436e-13,6.903915475829011e-11
5,0.0735,2.0868452201969167e-15,7.053656701373079e-14,4.37862673474925e-11
6,0.0735,1.0255937427299968e-15,4.154004786310999e-14,3.0218315235386835e-11
7,0.0735,4.70206125635009e-16,2.4882783347940602e-14,2.2136282426604358e-11
8,0.0735,2.1820599545100576e-16,1.5096474127743273e-14,1.695048240036591e-11
9,0.0735,1.1839784057941509e-16,9.3475295364247e-15,1.3427874743704534e-11
10,0.0735,8.129220710536885e-17,6.0333497082712036e-15,1.0922589392401911e-11
11,0.0735,6.485179206701149e-17,4.17837148374091e-15,9.078035992216863e-12
12,0.0735,5.448490822527528e-17,3.1715763094451614e-15,7.677217216115003e-12
13,0.0735,4.7184057368294655e-17,2.631795942416041e-15,6.5876429752322395e-12
14,0.0735,4.268980744062649e-17,2.3276775050432387e-15,5.722181021913329e-12
15,0.0735,4.042747416754883e-17,2.1278032340856004e-15,5.023532467153108e-12
16,0.0735,3.9346246265887516e-17,1.963970807015202e-15,4.44966980167132e-12
17,0.0735,3.862304553666595e-17,1.804713015329568e-15,3.973103853761451e-12
18,0.0735,3.792597038203955e-17,1.64328949359412e-15,3.571890130881541e-12
19,0.0735,3.736444954366347e-17,1.4840243597532834e-15,3.231371615085834e-12
20,0.0735,3.7103016050260524e-17,1.3328427905753917e-15,2.93950990190889e-12
21,0.0735,3.7170466599730227e-17,1.195403771504438e-15,2.687599439326011e-12
22,0.0735,3.753927602830061e-17,1.0760880461580232e-15,2.468284571860901e-12
23,0.0735,3.8092368056337016e-17,9.744295821725214e-16,2.276276377790131e-12
24,0.0735,3.871232865726032e-17,8.883841244001447e-16,2.1070704011383702e-12
25,0.0735,3.936994393257632e-17,8.144413025376889e-16,1.9572333151698293e-12
26,0.0735,4.005720701522024e-17,7.485839560014221e-16,1.823769882913088e-12
27,0.0735,4.076273903576012e-17,6.862338782409189e-16,1.7043660972146556e-12
28,0.0735,4.147502865061419e-17,6.233451266691481e-16,1.5970137769319827e-12
29,0.0735,4.2185406621968504e-17,5.5856186051936e-16,1.5002468151483552e-12
30,0.0735,4.288591423845111e-17,4.912007644798754e-16,1.4127346235035184e-12
31,0.0735,4.35725984345016e-17,4.2094236018508675e-16,1.3332302357390622e-12
32,0.0735,4.4257528727805785e-17,3.48922517053676e-16,1.2608211740039572e-12
33,0.0735,4.495678028186102e-17,2.766409414504e-16,1.1946785825490198e-12
34,0.0735,4.568241019505565e-17,2.0543907533699251e-16,1.134024824289836e-12
35,0.0735,4.643040330534185e-17,1.3602530306310688e-16,1.0782871368010712e-12
36,0.0735,4.7192726385562756e-17,6.894974457537463e-17,1.026943976322161e-12
37,0.0735,4.796229240218895e-17,4.582540684562749e-18,9.795062949759265e-13
38,0.0735,4.873579909620068e-17,-5.742608434202171e-17,9.356150284187346e-13
39,0.0735,4.951089040220562e-17,-1.1760588537293626e-16,8.949436081903367e-13
40,0.0735,5.028521025481145e-17,-1.764866172767387e-16,8.571654658304845e-13
41,0.0735,5.1056838105919686e-17,-2.345439748058812e-16,8.219761657367801e-13
42,0.0735,5.182559547660719e-17,-2.9203741224839477e-16,7.89159803738224e-13
43,0.0735,5.259173940524467e-17,-3.491723237762038e-16,7.585226085216671e-13
44,0.0735,5.3355526930202857e-17,-4.0615410356123313e-16,7.298708087739596e-13
45,0.0735,5.411685503626929e-17,-4.630882238809233e-16,7.030219647320141e-13
46,0.0735,5.487418049389895e-17,-5.196804694347746e-16,6.778389628329895e-13
47,0.0735,5.562560001996369e-17,-5.755367030278023e-16,6.541960210641069e-13
48,0.0735,5.636921033133531e-17,-6.302627874650221e-16,6.319673574125874e-13
49,0.0735,5.710310814488568e-17,-6.834645855514498e-16,6.110271898656516e-13
50,0.0735,5.782569305185154e-17,-7.348506439825911e-16,5.912593689035578e-13
2,0.0787,9.886860645722949e-15,5.792252098856414e-13,2.936719538220557e-10
3,0.0787,7.0118127916309014e-15,2.386217464642459e-13,1.2491547485937107e-10
4,0.0787,4.405790285059561e-15,1.26098349407943e-13,6.894105680556496e-11
5,0.0787,2.4826208370306423e-15,7.266569161820346e-14,4.3669297682551563e-11
6,0.0787,1.2680718053446066e-15,4.3286198407714417e-14,3.010049989128224e-11
7,0.0787,5.997035250892462e-16,2.6215895669359726e-14,2.202544195043745e-11
8,0.0787,2.787578722956226e-16,1.604093768087707e-14,1.6849441981976497e-11
9,0.0787,1.4428180255218544e-16,9.960385475277521e-15,1.3337381685773636e-11
10,0.0787,9.313986691622301e-17,6.388006628785985e-15,1.084244453272693e-11
11,0.0787,7.207447548125187e-17,4.355028838962732e-15,9.007359480859339e-12
12,0.0787,5.990878520292472e-17,3.2403397023218395e-15,7.614924968261341e-12
13,0.0787,5.111523635182234e-17,2.6467109725442726e-15,6.532712213700493e-12
14,0.0787,4.518200308810204e-17,2.3273203622352765e-15,5.673562525268898e-12
15,0.0787,4.189904856851902e-17,2.1341756192979023e-15,4.9802868584436725e-12
16,0.0787,4.037383188429114e-17,1.9842033229983483e-15,4.411067205444414e-12
17,0.0787,3.9563942930425e-17,1.8383303290950976e-15,3.938413136778004e-12
18,0.0787,3.8820760372134e-17,1.6863308302909725e-15,3.5405696898659817e-12
19,0.0787,3.811502424310936e-17,1.5301698504030135e-15,3.202976775882814e-12
20,0.0787,3.756182833625565e-17,1.3744476728939166e-15,2.9136505237873057e-12
21,0.0787,3.730229425671473e-17,1.2270951617310415e-15,2.6639417371849313e-12
22,0.0787,3.7433536504246385e-17,1.0955026218285033e-15,2.4465483313630967e-12
23,0.0787,3.78506133448447e-17,9.815675413827656e-16,2.2562219936902705e-12
24,0.0787,3.8414646604761115e-17,8.851917892190162e-16,2.0884944737912875e-12
25,0.0787,3.905306858504212e-17,8.037875733949761e-16,1.939963998235397e-12
26,0.0787,3.9720070197371095e-17,7.33844802312688e-16,1.8076632047034712e-12
27,0.0787,4.041056632118401e-17,6.706538465189371e-16,1.689295898378468e-12
28,0.0787,4.112548427076835e-17,6.097587933275532e-16,1.5828689831704417e-12
29,0.0787,4.184907713206516e-17,5.489181349757924e-16,1.4869305903957452e-12
30,0.0787,4.256142943392888e-17,4.864439649317688e-16,1.4001641582223085e-12
31,0.0787,4.3248825973627976e-17,4.210546231754832e-16,1.3213358765406186e-12
32,0.0787,4.392235262208699e-17,3.530934357344829e-16,1.2495429421314004e-12
33,0.0787,4.459929551864449e-17,2.8330997514820277e-16,1.1839653034979374e-12
34,0.0787,4.529380079100434e-17,2.125612937100864e-16,1.1238332972565092e-12
35,0.0787,4.6007454520331515e-17,1.421343627296177e-16,1.0685788124753782e-12
36,0.0787,4.673870277615631e-17,7.342363327028861e-17,1.0176841263358037e-12
37,0.0787,4.7485495673337495e-17,7.52638919557448e-18,9.706636222314165e-13
38,0.0787,4.8243799508047914e-17,-5.564875443112406e-17,9.271601084053378e-13
39,0.0787,4.900908462178892e-17,-1.164903497464238e-16,8.868484993130608e-13
40,0.0787,4.9776821356061866e-17,-1.7538694888694244e-16,8.494037094100793e-13
41,0.0787,5.0543152371735177e-17,-2.3274029263096477e-16,8.145229020623723e-13
42,0.0787,5.130690960714569e-17,-2.8900487632344667e-16,7.819922362778606e-13
43,0.0787,5.20675973199973e-17,-3.446483839510115e-16,7.516201199749506e-13
44,0.0787,5.282471976799389e-17,-4.0013849950028246e-16,7.23214961072049e-13
45,0.0787,5.357766073475296e-17,-4.558022708324673e-16,6.965963958661457e-13
46,0.0787,5.432532210754629e-17,-5.114042013071102e-16,6.716289741685671e-13
47,0.0787,5.5066485299559284e-17,-5.665681581583387e-16,6.48188474169223e-13
48,0.0787,5.579993172397728e-17,-6.209180086202825e-16,6.261506740580235e-13
49,0.0787,5.652444279398569e-17,-6.740776199270686e-16,6.053913520248786e-13
50,0.0787,5.723893166191727e-17,-7.257440775305993e-16,5.857956624265367e-13
2,0.084,1.0549849815716575e-14,5.752520349320399e-13,2.928063914861015e-10
3,0.084,7.710450760030375e-15,2.4027924571456625e-13,1.2485680254212034e-10
4,0.084,4.996574747231023e-15,1.2817407843056948e-13,6.883450303168852e-11
5,0.084,2.9132238488172704e-15,7.461892486520485e-14,4.3555438832194645e-11
6,0.084,1.5428352741356097e-15,4.4924048966483556e-14,2.9986745402689765e-11
7,0.084,7.535860767008366e-16,2.7493486740984544e-14,2.1917644584083333e-11
8,0.084,3.5446437551305447e-16,1.6967843077057075e-14,1.6750570588082967e-11
9,0.084,1.777613994176065e-16,1.0575937974089414e-14,1.3248419401335397e-11
10,0.084,1.0800512393367865e-16,6.753690810373534e-15,1.0763307253550996e-11
11,0.084,8.036220010862618e-17,4.538146902667076e-15,8.937309367835141e-12
12,0.084,6.599069038680997e-17,3.3063163262142134e-15,7.55300173828283e-12
13,0.084,5.576907443120287e-17,2.6517477250205247e-15,6.477967287115172e-12
14,0.084,4.8345451946268213e-17,2.311615901976238e-15,5.624992807001498e-12
15,0.084,4.380185804146449e-17,2.1215931875311462e-15,4.937014332647681e-12
16,0.084,4.1549592614561725e-17,1.9876345754266908e-15,4.37241299980908e-12
17,0.084,4.053239055789835e-17,1.860878559146222e-15,3.9036360391577554e-12
18,0.084,3.9790149263566586e-17,1.7230889278757541e-15,3.5091524524944965e-12
19,0.084,3.9052357759805424e-17,1.5743510714114956e-15,3.1744934998793574e-12
20,0.084,3.8283806995314244e-17,1.4191489381378266e-15,2.8877102153528035e-12
21,0.084,3.7699628139463494e-17,1.2663035752962944e-15,2.6402073446980907e-12
22,0.084,3.751523288222326e-17,1.1246141806488004e-15,2.4247381954686297e-12
23,0.084,3.769681477529112e-17,9.984554551814854e-16,2.2360966105556637e-12
24,0.084,3.814419216605103e-17,8.902393818950914e-16,2.0698521078306116e-12
25,0.084,3.874090072290501e-17,7.9895156862452e-16,1.9226363697477475e-12
26,0.084,3.938685156248884e-17,7.222258807076381e-16,1.7915106312293702e-12
27,0.084,4.006374027335534e-17,6.557155886600132e-16,1.6741921724870091e-12
28,0.084,4.0770406097832715e-17,5.949182209389519e-16,1.568698629678614e-12
29,0.084,4.1492478421433973e-17,5.366889325910117e-16,1.4735930174585813e-12
30,0.084,4.2212284165468314e-17,4.782222853100629e-16,1.3875746951054202e-12
31,0.084,4.2915692121190166e-17,4.172287475941824e-16,1.3094244475394622e-12
32,0.084,4.360273855963494e-17,3.5348241515827936e-16,1.2382487622483299e-12
33,0.084,4.4277001621783346e-17,2.872732905214708e-16,1.173235552361469e-12
34,0.084,4.4943695433691527e-17,2.1906712282599436e-16,1.1136226368108222e-12
35,0.084,4.561457806171768e-17,1.5003264770657418e-16,1.0588474577383197e-12
36,0.084,4.630304355729548e-17,8.151434742105536e-17,1.0083973630883887e-12
37,0.084,4.701885917703603e-17,1.466769617323981e-17,9.61791208341343e-13
38,0.084,4.775728499825995e-17,-5.0107864049245046e-17,9.186738791210419e-13
39,0.084,4.85099543034653e-17,-1.1260189931281552e-16,8.787217685872307e-13
40,0.084,4.9268500375150097e-17,-1.7260397568388724e-16,8.416112698996555e-13
41,0.084,5.0025883123404176e-17,-2.300697157538396e-16,8.070410642386267e-13
42,0.084,5.0780368968684474e-17,-2.85618968213904e-16,7.747989848667169e-13
43,0.084,5.15315509590397e-17,-3.400376382802747e-16,7.44695153067064e-13
44,0.084,5.227902214251857e-17,-3.941116311691459e-16,7.165396901228056e-13
45,0.084,5.3022294258706714e-17,-4.484399409723647e-16,6.901539173870611e-13
46,0.084,5.3760553813337404e-17,-5.028739172843888e-16,6.654039564928771e-13
47,0.084,5.4492906003680813e-17,-5.570779985753284e-16,6.42167129143282e-13
48,0.084,5.5218456027007136e-17,-6.107166233152935e-16,6.203207570413039e-13
49,0.084,5.593630908058656e-17,-6.634542299743945e-16,5.997421618899713e-13
50,0.084,5.664552618205874e-17,-7.150039392312249e-16,5.803178397370464e-13
2,0.0893,1.121070272955844e-14,5.769907323559009e-13,2.936499886546951e-10
3,0.0893,8.406637461159659e-15,2.4163700877520334e-13,1.2480376308907702e-10
4,0.0893,5.599975059703597e-15,1.3001334581570885e-13,6.875285135189545e-11
5,0.0893,3.366122997632909e-15,7.636919748762785e-14,4.3450185844420995e-11
6,0.0893,1.842417004570481e-15,4.6424197140933965e-14,2.9879457215152716e-11
7,0.0893,9.286764569688075e-16,2.8690756241333464e-14,2.1815422628610303e-11
8,0.0893,4.447554160658611e-16,1.7856533760126516e-14,1.6656209966508223e-11
9,0.0893,2.193295751593247e-16,1.1181571981739275e-14,1.31630101887506e-11
10,0.0893,1.2635145840922553e-16,7.120477045450194e-15,1.0686961576447321e-11
11,0.0893,8.981521335690813e-17,4.724632152747439e-15,8.869429739490492e-12
12,0.0893,7.255610854229612e-17,3.3724921031239106e-15,7.492859817712985e-12
