tau,ell,EE,TE,TT
0.1103,6,57.59450861298539,5.129696249586631e-14,2.9509668546774746e-11
0.1156,6,64.76710194716293,5.23018815399783e-14,2.942822429250254e-11
0.1208,6,72.06580871739399,5.321058953877516e-14,2.9353152919453364e-11
0.1261,6,79.78307429994993,5.4067098598193996e-14,2.928059765520598e-11
0.0261,7,1.0,8.281459293128654e-15,2.3459036401964937e-11
0.0314,7,1.190286368707848,1.049593582884732e-14,2.3278702087753403e-11
0.0366,7,1.4662531385605588,1.2656761506966764e-14,2.3109746226143483e-11
0.0419,7,1.8850115977279915,1.4756411016017162e-14,2.2946804363383153e-11
0.0472,7,2.508232269671268,1.6730756276953092e-14,2.2792313800132708e-11
0.0524,7,3.389053067518565,1.8549922134535364e-14,2.2648978161930097e-11
0.0561,7,4.215134519014657,1.9776556859511815e-14,2.255106066974454e-11
0.0629,7,6.242644160911325,2.189758768714816e-14,2.238063928617521e-11
0.0682,7,8.33025311528701,2.3435825175785592e-14,2.2255347367626124e-11
0.0735,7,10.897557539901804,2.48827833479406e-14,2.213628242660436e-11
0.0787,7,13.898805896490904,2.621589566935973e-14,2.202544195043745e-11
0.084,7,17.46520767041403,2.7493486740984544e-14,2.191764458408333e-11
0.0893,7,21.52312480425972,2.8690756241333464e-14,2.1815422628610303e-11
0.0945,7,26.00635512263948,2.9796392685872605e-14,2.171969907638129e-11
0.0998,7,31.05431685289528,3.0854779554680875e-14,2.1626880859064295e-11
0.105,7,36.453107421322315,3.182550568882535e-14,2.1540302276454835e-11
0.1103,7,42.406026182671866,3.275418221462111e-14,2.1456278494721483e-11
0.1156,7,48.808636476569944,3.3628435842995824e-14,2.1375819566734598e-11
0.1208,7,55.471950225992416,3.44289907102323e-14,2.130092124110056e-11
0.1261,7,62.66430801833061,3.519598423718188e-14,2.1228123844818355e-11
0.0261,8,1.0,4.943772447986235e-15,1.8103670249845348e-11
0.0314,8,1.11261300051556,6.097933617801789e-15,1.795296265788293e-11
0.0366,8,1.270445944206142,7.308401402798579e-15,1.780961858573535e-11
