ell,tau,EE,TE,TT
27,0.0318,4.383205600575201e-17,7.259574253752226e-16,1.836248025691635e-12
28,0.0318,4.4621770994715447e-17,6.469963325561077e-16,1.720849968411398e-12
29,0.0318,4.5421848842077743e-17,5.686893145678836e-16,1.6167979479855011e-12
30,0.0318,4.623077388051713e-17,4.918418939629208e-16,1.5226734762652527e-12
31,0.0318,4.704726662046449e-17,4.170456479032962e-16,1.4371476979556523e-12
32,0.0318,4.7870992283361276e-17,3.440363719899275e-16,1.359250289176463e-12
33,0.0318,4.870185226840163e-17,2.7233591643344127e-16,1.2881005589011404e-12
34,0.0318,4.953938325082399e-17,2.0156742586442284e-16,1.2228692293229383e-12
35,0.0318,5.038166301004409e-17,1.3175922259328846e-16,1.1629326755143077e-12
36,0.0318,5.1226404601522e-17,6.304092335041253e-17,1.107718685767499e-12
37,0.0318,5.207153975093552e-17,-4.48298364058665e-18,1.0566926261147682e-12
38,0.0318,5.2915874864833487e-17,-7.080852418311967e-17,1.0094701735483952e-12
39,0.0318,5.375843501998251e-17,-1.3595685258735345e-16,9.657045828006658e-13
40,0.0318,5.4598245293149153e-17,-1.9994912316345548e-16,9.250491086038647e-13
41,0.0318,5.543456210251278e-17,-2.6283320185465043e-16,8.871799288762169e-13
42,0.0318,5.626756723190378e-17,-3.2476380113639376e-16,8.518649142797016e-13
43,0.0318,5.70976738065653e-17,-3.8592234511719874e-16,8.18894858662237e-13
44,0.0318,5.792529495174047e-17,-4.464902579055788e-16,7.880605558717414e-13
45,0.0318,5.875051300059522e-17,-5.065869511988883e-16,7.591651592907282e-13
46,0.0318,5.957208711798635e-17,-5.660837870498485e-16,7.320612604400909e-13
47,0.0318,6.038844567669345e-17,-6.24790115100023e-16,7.066138103753193e-13
48,0.0318,6.119801704949614e-17,-6.825152849909738e-16,6.826877601519025e-13
49,0.0318,6.199922960917398e-17,-7.390686463642643e-16,6.601480608253299e-13
50,0.0318,6.279059573746989e-17,-7.943041530008288e-16,6.388699488467992e-13
2,0.0355,4.013160041329396e-15,5.503420264802322e-13,2.936540031635655e-10
3,0.0355,1.7303371061624776e-15,1.9906516750444138e-13,1.2576748167994638e-10
4,0.0355,6.635257214705864e-16,9.064193289114e-14,7.015825261680006e-11
5,0.0355,2.397047260028872e-16,4.4643209598189996e-14,4.4966642272140923e-11
6,0.0355,1.008500938760639e-16,2.281690625297134e-14,3.133607955676943e-11
7,0.0355,6.034592407219608e-17,1.220599332475343e-14,2.3144877659291268e-11
8,0.0355,4.681248885213414e-17,7.050891667388773e-15,1.7839552649189743e-11
9,0.0355,4.060315954870975e-17,4.559149335696075e-15,1.4201507882973446e-11
10,0.0355,3.7432559736346046e-17,3.3423287232464934e-15,1.15923104826395e-11
11,0.0355,3.591640232602634e-17,2.7157078660762162e-15,9.658449684173801e-12
12,0.0355,3.5246284980410035e-17,2.352012439379944e-15,8.181578894089051e-12
13,0.0355,3.506419505410063e-17,2.1067377619725333e-15,7.0282054070804255e-12
14,0.0355,3.5195048408723416e-17,1.921350992662454e-15,6.109581278613579e-12
15,0.0355,3.554628863816616e-17,1.7735755009395112e-15,5.366181680666026e-12
16,0.0355,3.601796303754898e-17,1.6543319414909698e-15,4.754717336960775e-12
17,0.0355,3.656558376208053e-17,1.5562673433915688e-15,4.246507862694701e-12
18,0.0355,3.716348622682367e-17,1.469683770826631e-15,3.818232913326284e-12
19,0.0355,3.77951851035891e-17,1.387424477166905e-15,3.4545057249878895e-12
20,0.0355,3.844870187255725e-17,1.3042883856557002e-15,3.142738009958822e-12
21,0.0355,3.9120911297591206e-17,1.219524233847843e-15,2.873664695828746e-12
22,0.0355,3.981098309205738e-17,1.1336221813471737e-15,2.6394106733511123e-12
23,0.0355,4.0518413483652984e-17,1.0475882616420596e-15,2.434337470624173e-12
24,0.0355,4.1242837078815545e-17,9.625670710594545e-16,2.2536473081846693e-12
25,0.0355,4.198411548461315e-17,8.797415833961267e-16,2.0936685389785105e-12
26,0.0355,4.274166232480437e-17,7.9984358433217515e-16,1.951189502771169e-12
27,0.0355,4.351287228927939e-17,7.217617296111947e-16,1.823712354197211e-12
28,0.0355,4.42951272562205e-17,6.442360515237258e-16,1.7090696891682855e-12
29,0.0355,4.508777679084699e-17,5.672552184845816e-16,1.6057020538352906e-12
30,0.0355,4.589066238013744e-17,4.911200579396438e-16,1.5122019819089367e-12
31,0.0355,4.6703248548025705e-17,4.160966410057541e-16,1.4272501982854655e-12
32,0.0355,4.752349196626692e-17,3.423120134835974e-16,1.3498801926032482e-12
33,0.0355,4.834897234357152e-17,2.698584648448191e-16,1.2792136456861875e-12
