k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
0.07683571407957032,0.7075111793698925,0.0214,0.13,0.1649217747260532,-0.7827220003951472
0.0798495727490475,0.7352631008199585,0.0214,0.13,0.1568465064944871,-0.804525150074705
0.08289761822514176,0.7633298179110659,0.0214,0.13,0.14889773469733372,-0.8271119094736903
0.0859907908249912,0.7918120702117053,0.0214,0.13,0.14119286679713824,-0.8501872437154798
0.0891386031294603,0.8207974505475165,0.0214,0.13,0.13386123035519273,-0.8733451875947675
0.09234954836718029,0.850364165443649,0.0214,0.13,0.12703117904330088,-0.8960896709766745
0.09563138303762429,0.880583637547185,0.0214,0.13,0.12080826002052007,-0.9179033706925945
0.09899132719223577,0.9115223498364251,0.0214,0.13,0.1152648147279499,-0.9383032434557897
0.10243620911555781,0.9432431778596484,0.0214,0.13,0.11042200658204,-0.9569443651510565
0.10597257142961584,0.9758063667552104,0.0214,0.13,0.1062388137780882,-0.9737167871148631
0.10960674978473593,1.009270255844714,0.0214,0.13,0.10262313557841635,-0.9887547199125606
0.1133449316628371,1.0436918200997891,0.0214,0.13,0.09942741323725553,-1.0024938593019554
0.11719320050668165,1.0791270764887813,0.0214,0.13,0.09646350747147805,-1.0156369509169931
0.12115756888943958,1.115631389405521,0.0214,0.13,0.09353902848331741,-1.029007145080983
0.12524400345293357,1.1532597003032556,0.0214,0.13,0.09047472216654828,-1.0434727418668506
0.12945844368841913,1.1920667006300105,0.0214,0.13,0.08714284278170711,-1.059768276575262
0.13380681619772622,1.2321069631466501,0.0214,0.13,0.0834861406195128,-1.078385614960068
0.1382950457828396,1.2734350440408804,0.0214,0.13,0.07954911241687365,-1.0993646617069595
0.14292906452113216,1.3161055664929295,0.0214,0.13,0.07545461453450919,-1.122314195178095
0.1477148198595587,1.3601732952077228,0.0214,0.13,0.07139017122703145,-1.1463615763987984
0.15265828268214635,1.4056932107011635,0.0214,0.13,0.0675649732341323,-1.170278390944586
0.15776545625563865,1.4527205916725474,0.0214,0.13,0.06415778946268136,-1.1927506079517296
0.16304238692731923,1.5013111135112267,0.0214,0.13,0.06126429907019263,-1.2127925309223255
0.1684951774294413,1.5515209708051685,0.0214,0.13,0.05887010881771994,-1.2301051614208593
0.17413000363167155,1.6034070315991855,0.0214,0.13,0.05684109439095892,-1.2453375689680197
0.17995313557428994,1.6570270310708097,0.0214,0.13,0.05497819354746579,-1.2598095341407174
0.1859709636105697,1.712439812252023,0.0214,0.13,0.053061446835069866,-1.2752209122142193
0.19219003048894498,1.7697056214451656,0.0214,0.13,0.050914191082723756,-1.2931611518492614
0.1986170702185277,1.8288864661006234,0.0214,0.13,0.048504384700116074,-1.3142190002638732
0.20525905459162944,1.8900465432010076,0.0214,0.13,0.04594542178043774,-1.3377577572822472
0.21212324829268747,1.9532527467098293,0.0214,0.13,0.04343758692534482,-1.3621343089743618
0.2192172736150986,2.0185752634907788,0.0214,0.13,0.04116460018981139,-1.38547609830668
0.22654918594907522,2.086088268407691,0.0214,0.13,0.03923583355296678,-1.4063171165068105
0.2341275614107163,2.1558707312220653,0.0214,0.13,0.037631793922073,-1.4244450782018683
0.24196159827455524,2.228007350594431,0.0214,0.13,0.036204627428099496,-1.441235917365933
0.25006123427315546,2.3025896341911185,0.0214,0.13,0.034762129311231925,-1.458893629237308
0.25843728236873065,2.3797171488833393,0.0214,0.13,0.03318682973803173,-1.479034232768844
0.2671015883235212,2.459498971671466,0.0214,0.13,0.031493386183427466,-1.5017806413096426
0.27606721435160086,2.5420553807698054,0.0214,0.13,0.02981120659060078,-1.5256204458045015
0.28534865439848667,2.62751983792345,0.0214,0.13,0.028293916065113597,-1.5483069391542374
0.294962088268764,2.7160413284416576,0.0214,0.13,0.026992798976511863,-1.5687520796143595
0.30492568405061243,2.807787145954074,0.0214,0.13,0.025829165524875304,-1.58788962455824
0.31525996127696493,2.902946236436141,0.0214,0.13,0.024678372633608697,-1.6076834823837751
0.32598823131700927,3.001733253379459,0.0214,0.13,0.02346478789258259,-1.6295833671918356
0.3371371370515757,3.1043935271784138,0.0214,0.13,0.022233952332928034,-1.6529833297521637
0.3487373216120977,3.2112092229474927,0.0214,0.13,0.0210806880817185,-1.6761152176902108
0.36082426685573604,3.322507061286704,0.0214,0.13,0.02004899897115326,-1.697907306443166
0.373439357849955,3.4386681201653317,0.0214,0.13,0.019085843017845473,-1.7192886525913489
0.38663125236627327,3.560140445361632,0.0214,0.13,0.018120093322363667,-1.7418395699437967
0.4004576681064675,3.687455507426036,0.0214,0.13,0.017147179525378285,-1.7658073052013845
0.41498775144338607,3.8212500132908476,0.0214,0.13,0.016219898424175132,-1.7899518698510257
0.4303052704870575,3.962295308352279,0.0214,0.13,0.015354430171248577,-1.813766296321166
0.4465130006162526,4.111537758897353,0.0214,0.13,0.01452082487207644,-1.8380087123400684
0.46373887480405995,4.270155384936095,0.0214,0.13,0.013688223132295035,-1.8636529239568278
0.48214481388934877,4.43963917025183,0.0214,0.13,0.012877600360127623,-1.890165056809077
0.501939747281675,4.621912958394797,0.0214,0.13,0.012103491146282086,-1.9170893431645781
0.5233994085216251,4.8195157322433255,0.0214,0.13,0.011337496217213002,-1.9454828448353803
0.5468975127480216,5.035888699337215,0.0214,0.13,0.010579568006383282,-1.9755320654080428
0.5729569238330182,5.275846444134606,0.0214,0.13,0.009834378724351207,-2.0072530709361556
0.6023377854754619,5.546388448208673,0.0214,0.13,0.009085738931069202,-2.0416397463266938
0.636198220632686,5.858178827188637,0.0214,0.13,0.00833043761353457,-2.0793321836891
0.6764076362787574,6.228431273285059,0.0214,0.13,0.007554169101635504,-2.121813297628008
0.7262060868159506,6.686980541583338,0.0214,0.13,0.006741050701033492,-2.1712724064176148
0.7917044904810568,7.290096597431463,0.0214,0.13,0.005864702395595549,-2.2317540212688156
0.8854330983538392,8.153159285026144,0.0214,0.13,0.004890044631272651,-2.310687177067182
1.0331108919989562,9.512991639032746,0.0214,0.13,0.0037977240829393626,-2.4204765913656643
1.2690947594664463,11.68595542786783,0.0214,0.13,0.0027007193465185277,-2.5685205445023684
1.5946031141010462,14.683269927265618,0.0214,0.13,0.0018416550839795325,-2.7347917037541483
1.0250249707206632e-05,8.89264000046845e-05,0.0214,0.13666666666666666,1.0,0.0
1.2904299833638153e-05,0.00011195170474527028,0.0214,0.13666666666666666,0.9999989236135411,-4.674689510641966e-07
1.6245550981978315e-05,0.0001409388459974984,0.0214,0.13666666666666666,0.9999972482893799,-1.1950543823446333e-06
2.0451936959810192e-05,0.00017743149473519544,0.0214,0.13666666666666666,0.999994361164607,-2.4489220000601103e-06
2.5747463159117395e-05,0.00022337301757476054,0.0214,0.13666666666666666,0.9999898389625238,-4.412904926208786e-06
3.241413566024701e-05,0.0002812099681340111,0.0214,0.13666666666666666,0.9999826530357901,-7.533756178200359e-06
4.0806979084028474e-05,0.0003540223749337346,0.0214,0.13666666666666666,0.9999713245020906,-1.2453789068041287e-05
5.1372942947436525e-05,0.00044568776414780103,0.0214,0.13666666666666666,0.99995338694561,-2.0244264133400517e-05
6.467470335517979e-05,0.0005610876520113921,0.0214,0.13666666666666666,0.9999250167121123,-3.2566049134563144e-05
8.142062755408533e-05,0.0007063675033610643,0.0214,0.13666666666666666,0.9998801828942595,-5.2039025505686146e-05
0.0001025024970720664,0.0008892640000468456,0.0214,0.13666666666666666,0.9998094837963887,-8.274801861104737e-05
0.0001290429983363816,0.0011195170474527034,0.0214,0.13666666666666666,0.9996982795757725,-0.0001310552873423255
0.00016245550981978328,0.001409388459974985,0.0214,0.13666666666666666,0.9995241207436174,-0.00020672092610159477
0.00020451936959810203,0.0017743149473519553,0.0214,0.13666666666666666,0.9992531802216509,-0.000324460880700764
0.00025747463159117405,0.0022337301757476063,0.0214,0.13666666666666666,0.998835911595343,-0.0005058516557702139
0.00032414135660247033,0.002812099681340113,0.0214,0.13666666666666666,0.998202809980913,-0.0007812119118047447
0.0004080697908402849,0.0035402237493373477,0.0214,0.13666666666666666,0.9972620028759406,-0.001190727892108535
0.0005137294294743655,0.004456877641478012,0.0214,0.13666666666666666,0.9959004723571327,-0.001784061642449058
0.0006467470335517982,0.005610876520113923,0.0214,0.13666666666666666,0.9939839135238643,-0.00262064409800965
0.0008142062755408535,0.007063675033610644,0.0214,0.13666666666666666,0.9913351660703773,-0.0037794876283646687
