k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.07632522508561955,0.6330086177296037,0.0234,0.14333333333333334,0.000642,0.18263725413999649,-0.7384106308696169
0.0794144488747355,0.6586293123087821,0.0234,0.14333333333333334,0.000642,0.17430667669110736,-0.75868597723556
0.08252609895427693,0.6844360009035313,0.0234,0.14333333333333334,0.000642,0.16601104290875066,-0.7798630221116174
0.08567347635671095,0.7105389965613002,0.0234,0.14333333333333334,0.000642,0.15783014550046845,-0.8018100431155587
0.08886780942296527,0.7370314223166037,0.0234,0.14333333333333334,0.000642,0.14987729167562253,-0.824264163329504
0.09211887129795178,0.7639943324335418,0.0234,0.14333333333333334,0.000642,0.14228158558144627,-0.8468513036954519
0.09543539561432239,0.7915001599082376,0.0234,0.14333333333333334,0.000642,0.13517208350573398,-0.8691129920577234
0.09882536444013273,0.8196151045830219,0.0234,0.14333333333333334,0.000642,0.128660013424611,-0.890556407620602
0.10229621249148638,0.8484008267983477,0.0234,0.14333333333333334,0.000642,0.12282209738916579,-0.9107234905985043
0.10585497474517624,0.8779156716286048,0.0234,0.14333333333333334,0.000642,0.11768755749880483,-0.929269450455234
0.10950839474434632,0.9082155671227363,0.0234,0.14333333333333334,0.000642,0.11322802284050187,-0.9460460761612288
0.11326300494900762,0.9393546906968889,0.0234,0.14333333333333334,0.000642,0.10935591087075339,-0.9611577376453356
0.11712518679220496,0.971385967214452,0.0234,0.14333333333333334,0.000642,0.10592931682158736,-0.9749838286383349
0.12110121575395788,1.0043614428099545,0.0234,0.14333333333333334,0.000642,0.10276676517807957,-0.9881473136816797
0.12519729524162188,1.0383325658782216,0.0234,0.14333333333333334,0.000642,0.09967004454292745,-1.0014353476511355
0.12941958206287896,1.0733503983364117,0.0234,0.14333333333333334,0.000642,0.09645473047291023,-1.0156764681973596
0.1337742056119823,1.1094657747464847,0.0234,0.14333333333333334,0.000642,0.09298227396911204,-1.0315998369423351
0.1382672824464686,1.1467294232081902,0.0234,0.14333333333333334,0.000642,0.08918842045888083,-1.0496915274316776
0.14290492763695656,1.1851920594894192,0.0234,0.14333333333333334,0.000642,0.08509962696268379,-1.0700723436569286
0.14769326407868097,1.2249044642520661,0.0234,0.14333333333333334,0.000642,0.08083188976994841,-1.092417267705633
0.1526384308275651,1.2659175521878308,0.0234,0.14333333333333334,0.000642,0.07656955930486789,-1.1159438524752774
0.15774659144348316,1.308282441213652,0.0234,0.14333333333333334,0.000642,0.07252595844037568,-1.1395065232269044
0.16302394327316994,1.352050529460171,0.0234,0.14333333333333334,0.000642,0.06889076179867051,-1.161839012763752
0.1684767285739526,1.397273587527183,0.0234,0.14333333333333334,0.000642,0.06577693785988611,-1.1819263482676055
