tau,ell,EE/EE_planck
0.0893,19,1.0914239285348484
0.0945,19,1.1185348985611774
0.0998,19,1.145048133440708
0.105,19,1.1697397884486653
0.1103,19,1.1945592822789928
0.1156,19,1.2205744551561075
0.1208,19,1.2486186891696505
0.1261,19,1.281961941174819
0.0261,20,1.0512954204893996
0.0314,20,1.0407443483520862
0.0366,20,1.0309978659725092
0.0419,20,1.0217674245482433
0.0472,20,1.0129965799336587
0.0524,20,1.005079748851066
0.0561,20,1.0
0.0629,20,0.9929127378377373
0.0682,20,0.991728959161117
0.0735,20,0.9968757253984489
0.0787,20,1.009202993613074
0.084,20,1.0286009584172369
0.0893,20,1.0533528877655534
0.0945,20,1.0805472964085474
0.0998,20,1.1092007852657406
0.105,20,1.1364238147383565
0.1103,20,1.162737891264409
0.1156,20,1.1876144523772585
0.1208,20,1.2109620252512774
0.1261,20,1.2352323563747172
0.0261,21,1.0530231867508422
0.0314,21,1.0423295530459962
0.0366,21,1.032431898098057
0.0419,21,1.0231093774785402
0.0472,21,1.014038334434721
0.0524,21,1.0055678309105964
0.0561,21,1.0
0.0629,21,0.9907502173389121
0.0682,21,0.985101919973616
0.0735,21,0.9829374355485393
0.0787,21,0.9864234918438793
0.084,21,0.9969306063219219
0.0893,21,1.014734748871695
0.0945,21,1.0381626349351776
0.0998,21,1.066250884059552
0.105,21,1.0957080877127785
0.1103,21,1.1259375684448971
0.1156,21,1.1550258783977043
0.1208,21,1.1815393188955048
0.1261,21,1.2066816025247318
0.0261,22,1.0541192009309328
0.0314,22,1.0433067063660928
0.0366,22,1.0332045502180236
0.0419,22,1.0237314211114503
0.0472,22,1.0146695498889582
0.0524,22,1.0059795489988606
0.0561,22,1.0
0.0629,22,0.989725588850831
0.0682,22,0.9822826556506155
0.0735,22,0.9762675673137733
0.0787,22,0.9735176456626604
0.084,22,0.975642287707587
0.0893,22,0.9843724133234555
0.0945,22,0.9997800312226462
0.0998,22,1.021877302016651
0.105,22,1.0483714899295067
0.1103,22,1.0786215210186594
0.1156,22,1.1102753550254318
0.1208,22,1.141032070633976
0.1261,22,1.1711085811408795
0.0261,23,1.0548578136412903
0.0314,23,1.0439588928872408
0.0366,23,1.0336598863212367
0.0419,23,1.023939073329853
0.0472,23,1.014894243905784
0.0524,23,1.0062204623771358
0.0561,23,1.0
0.0629,23,0.9891937190564221
0.0682,23,0.9812748303945272
0.0735,23,0.973817504082004
0.0787,23,0.9676371330061673
0.084,23,0.9637053286375719
0.0893,23,0.9641721018167041
0.0945,23,0.9703923707797727
0.0998,23,0.9834709293366577
0.105,23,1.002745403102787
0.1103,23,1.0282407847675077
0.1156,23,1.0581396793619258
0.1208,23,1.0900519676684215
0.1261,23,1.1237461724485687
0.0261,24,1.055318305244113
0.0314,24,1.044368758240361
0.0366,24,1.03394921673165
0.0419,24,1.0239059395306918
0.0472,24,1.0146348673435754
0.0524,24,1.0061073147303385
0.0561,24,1.0
0.0629,24,0.9888955270064637
0.0682,24,0.9805452079713224
0.0735,24,0.9725419244485362
0.0787,24,0.9650634728478968
0.084,24,0.9582690409596092
0.0893,24,0.9536251908563699
0.0945,24,0.9526633414116279
0.0998,24,0.9568930166402541
0.105,24,0.967058418211038
0.1103,24,0.9839787993633082
0.1156,24,1.0070870210812475
0.1208,24,1.034712852521206
0.1261,24,1.0667922672194396
0.0261,25,1.0558743129536956
0.0314,25,1.0448914379779581
0.0366,25,1.0343869505187155
