k,P_k_om_m
0.003547603652315027,22506.33534207718
0.0035761497398211694,22612.387720713374
0.0036049255257918976,22718.381727180662
0.003633932858515,22824.308529985938
0.0036631736011506406,22930.15921443859
0.0036926496318510824,23035.92460450701
0.0037223628438812816,23141.594952227584
0.003752315145740512,23247.160334369048
0.0037825084612849455,23352.61074443585
0.0038129447298512224,23457.93642807077
0.003843625906381016,23563.127954567222
0.003874553961546601,23668.175838783034
0.0039057308818774288,23773.070694163867
0.003937158669887723,23877.80423707206
0.003968839344205115,23982.368615301904
0.004000774939700279,24086.755911439097
0.00403296750761765,24190.956529604395
0.004065419115707172,24294.958144053006
0.004098131848357109,24398.748071173086
0.004131107806727929,24502.313916946816
0.004164349108887265,24605.645480388903
0.004197857889945951,24708.733300279702
0.004231636302195171,24811.567821489858
