k (h/Mpc),T(k)
0.015400386891484714,0.3051023191563122
0.015533921937210593,0.3038617384652433
0.01566749641699393,0.3026257691031799
0.0158011107100785,0.30139434031188056
0.01593476521657078,0.30016725983222714
0.016068460357404835,0.29894456623895455
0.016202196574329412,0.2977263168409234
0.016335974329916545,0.2965124422310222
0.01646979410759101,0.2953028952628436
0.016603656411680115,0.29409778126922187
0.01673756176748327,0.29289690767177007
0.01687151072136086,0.29170039754666993
0.01700550384084208,0.2905081169492276
0.01713954171475123,0.2893200583820883
0.01727362495335226,0.28813623066063304
0.017407754188511187,0.28695663318385256
0.017541930073876163,0.2857812499814686
0.017676153285074995,0.2846100591552043
0.017810424519929858,0.2834429945195973
0.017944744498689148,0.2822799975400118
0.018079113964276267,0.28112119926490997
0.01821353368255531,0.2799664957277762
0.01834800444261358,0.2788159136095839
0.018482527057060844,0.2776693935377348
0.01861710236234545,0.2765269592670664
0.01875173121908717,0.27538842124629415
0.01888641451242697,0.27425400771580316
0.01902115315239367,0.27312361215663084
0.01915594807428767,0.27199705984335015
0.019290800239081782,0.27087454536191335
0.01942571063383945,0.2697561443121861
0.019560680272150376,0.26864158325703286
0.019695710194583865,0.26753079524812123
0.019830801469160088,0.2664243001799202
0.019965955191839448,0.2653216174510368
0.020101172487030403,0.2642226189385216
0.020236454508115984,0.2631276145129743
0.02037180243799935,0.26203652423413415
0.020507217489668706,0.2609493576201493
0.020642700906781972,0.25986596379519594
0.020778253964271583,0.2587862831413736
0.0209138779689698,0.2577106269337864
0.021049574260255086,0.25663874694741445
0.021185344210719857,0.2555706527969756
0.021321189226860236,0.2545063782826249
0.021457110749788285,0.25344565502174254
0.02159311025596724,0.25238904322429817
0.021729189257970363,0.2513360182272727
0.021865349305264035,0.2502867609934894
0.022001591985015667,0.2492412929636058
0.02213791892292716,0.24819956066211246
0.022274331784094607,0.24716139905931528
0.022410832273894954,0.24612711148051675
0.022547422138900385,0.24509639921444354
0.022684103167821306,0.2440693762216702
0.02282087719247868,0.24304622950674143
0.022957746088806647,0.2420265118415339
0.023094711777886412,0.24101046624169775
0.0232317762270122,0.23999812452134328
0.023368941450790492,0.2389896493075549
0.023506209512273446,0.23798408789438563
0.02364358252412768,0.23698287664063516
0.023781062649839542,0.2359847778763025
0.0239186521049581,0.2349906195905052
0.024056353158377057,0.23399983131455437
0.024194168133656973,0.23301255437119678
0.0243320994103891,0.23202874707090393
0.024470149425602314,0.2310488260199584
0.024608320675214655,0.23007203506809148
0.024746615715530943,0.22909907659394757
0.024885037164788255,0.22812939092803752
0.025023587704750844,0.22716334486168188
0.025162270082356355,0.22620077753219697
0.025301087111415214,0.22524176459036127
0.02544004167436511,0.2242861186838706
0.025579136724082633,0.22333372309504468
0.025718375285754217,0.22238498637147894
0.025857760458808624,0.22143976748288588
0.02599729541891328,0.22049783289013464
0.026136983420036987,0.21955900373176754
0.026276827796581498,0.2186241488590524
0.02641683196558471,0.2176922986503576
0.026556999428998255,0.2167638496548108
0.026697333776042442,0.21583903876267366
0.026837838685641685,0.21491755758721537
0.026978517928943607,0.21399923054225078
0.02711937537192526,0.2130842956161147
0.027260414978089995,0.21217262577785392
0.027401640811258787,0.21126437396199987
0.02754305703845987,0.21035937412192798
0.027684667932920848,0.20945756240483818
0.027826477877167625,0.20855906855658352
0.027968491366234676,0.20766399611213873
0.028110713010991464,0.20677204256883286
0.028253147541590036,0.20588366185803855
0.028395799811039037,0.20499780647467442
0.028538674798909796,0.20411551662379043
0.028681777615180246,0.2032363984264472
0.02882511350422288,0.20236067170616348
0.02896868784894326,0.20148774590307542
0.029112506175075853,0.20061825518749668
0.029256574155644435,0.19975175359297556
0.029400897615594685,0.1988885589870481
0.029545482536606882,0.19802836470366572
0.0296903350620973,0.19717119212852782
0.029835461502417063,0.19631719316154034
0.02998086834025801,0.19546622518520523
0.030126562236275432,0.1946181372396043
0.030272550034938246,0.19377345048463726
0.030418838770617664,0.1929314882508358
0.030565435673926195,0.19209235606711747
0.030712348178319342,0.19125664587678656
0.030859583926973196,0.1904236505820831
0.03100715077995188,0.1895935614486849
0.031155056821679596,0.1887664715869599
0.03130331036873296,0.18794209001806156
0.03145191997797026,0.1871209289731814
0.031600894455015176,0.1863023795053944
0.031750242863113794,0.1854867899684083
0.03189997453238472,0.1846741431487043
0.032050099069483425,0.183864008973191
0.03220062636770328,0.18305658620845436
0.03235156661753723,0.18225217024391574
0.0325029303177254,0.18145001632905725
0.032654728286815884,0.18065139472423522
0.03280697167526742,0.17985493367911273
0.03295967197812482,0.17906123950375974
0.03311284104829987,0.17827007892959137
0.03326649111049284,0.17748161707034893
0.033420634775791894,0.1766957418483645
0.033575285056990464,0.1759121708444345
0.03373045538466523,0.1751316368609032
0.03388615962406052,0.17435322765317063
0.03404241209282807,0.17357744232854197
0.03419922757967456,0.17280432810163912
0.03435662136397315,0.1720332013369259
0.03451460923639942,0.17126465617540543
0.034673207520656404,0.1704985894559421
0.03483243309635816,0.16973442541600467
0.03499230342314697,0.1689729121287372
0.035152836566124265,0.1682135307012741
0.0353140512226821,0.16745632080884726
0.035475966750828425,0.1667014007641706
0.03563860319910674,0.1659487702520644
0.035801981338218804,0.16519777227943755
0.03596612269446747,0.16444924574290912
0.03613104958514658,0.16370267476647637
0.03629678515601491,0.16295835001914968
0.036463353421002515,0.16221533508608463
0.03663077930431056,0.16147459567441488
0.036799088685078814,0.16073583343022682
0.036968308444810416,0.15999874910287612
0.03713846651775955,0.1592633222535872
0.037309591944505914,0.15852958960963362
0.03748171492895975,0.15779791279121513
0.037654866899062826,0.15706758664187598
0.03782908057147531,0.15633909820486774
0.0380043900205647,0.15561164693234497
0.03818083075204289,0.15488587466077464
0.03835843978162981,0.15416138627012999
0.038537255719158454,0.15343829722641159
0.038717318858576266,0.1527164674290607
0.03889867127434253,0.15199616586493753
0.03908135692477117,0.15127661339816434
0.039265421762923754,0.15055844410840452
0.039450913855719576,0.14984098873092744
0.03963788351199844,0.1491246049090347
0.039826383420349755,0.14840875447247898
0.04001646879760785,0.14769413341163015
0.040208197549011275,0.14698008728998108
0.040401630441133304,0.14626664662297204
0.04059683128881438,0.1455534482351646
0.040793867157466746,0.144841019920406
0.04099280858227892,0.14412874936571343
0.041193729806026286,0.14341682576382453
0.041396709037396305,0.14270491875359073
0.04160182873196709,0.14199281142712572
0.04180917589824018,0.1412809516078291
0.04201884243142723,0.14056841154973698
0.042230925478032436,0.13985586925713672
0.042445527834664216,0.1391429049447309
0.0426627583849598,0.13842919393186343
0.042882732579024016,0.13771468790688637
0.0431055729603812,0.1369994561211068
0.04333140974612996,0.13628295242904545
0.0435603814667911,0.13556513016949548
