k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.2671751325582096,2.445718062267348,0.0214,0.13,0.000642,0.03653521735563061,-1.4372883046025962
0.27614331295615413,2.5278126815341544,0.0214,0.13,0.000642,0.034625749209570796,-1.460600820842666
0.28542742774097674,2.612799360511312,0.0214,0.13,0.000642,0.03288615771799989,-1.4829868647158158
0.2950436700483377,2.7008263309746954,0.0214,0.13,0.000642,0.031381084070523486,-1.5033320576351823
0.3050102236611085,2.7920600470616477,0.0214,0.13,0.000642,0.030037884935727257,-1.5223306506652452
0.31534762665615407,2.8866885140893985,0.0214,0.13,0.000642,0.028718057745407886,-1.5418449355639725
0.3260792124154309,2.9849253255655417,0.0214,0.13,0.000642,0.027332943899439653,-1.5633135900260413
0.33723165010068973,3.0870146106871874,0.0214,0.13,0.000642,0.025923304281136476,-1.5863096424772494
0.34883561443541417,3.193237165517055,0.0214,0.13,0.000642,0.024591256233900457,-1.6092192849450784
0.36092662555730787,3.3039181409833933,0.0214,0.13,0.000642,0.02339739055967691,-1.6308325754413813
0.3735461153454591,3.419436804026465,0.0214,0.13,0.000642,0.022285359854840366,-1.6519803487122158
0.38674279941393613,3.5402390968119963,0.0214,0.13,0.000642,0.021174742119544454,-1.6741818700995372
0.4005744677823961,3.6668540285091455,0.0214,0.13,0.000642,0.02005188627336573,-1.6978447672042947
0.4151103584447911,3.799915402910887,0.0214,0.13,0.000642,0.01897609347704623,-1.7217931889574118
0.4304343573330296,3.940191110864224,0.0214,0.13,0.000642,0.017973370392020373,-1.7453704757343114
0.4466493939160524,4.088623367533113,0.0214,0.13,0.000642,0.01700774695896547,-1.7693532142002757
0.4638836065778357,4.2463851501971375,0.0214,0.13,0.000642,0.01604225005619815,-1.7947347184422289
0.4822991960160135,4.414961242159732,0.0214,0.13,0.000642,0.015100065851517108,-1.8210211587407283
0.5021054825989881,4.5962677596436174,0.0214,0.13,0.000642,0.014199635752522408,-1.8477227959478233
0.5235787621109341,4.792833911050091,0.0214,0.13,0.000642,0.01330841861029766,-1.875873547051555
0.5470935861657876,5.008088337505607,0.0214,0.13,0.000642,0.012423827551032442,-1.9057445854632389
0.5731741139616207,5.246829186225267,0.0214,0.13,0.000642,0.011554066694990837,-1.9372651298547678
0.6025825931486831,5.516034063351853,0.0214,0.13,0.000642,0.01067833017001519,-1.9714966550459256
0.6364807654212455,5.826337538870082,0.0214,0.13,0.000642,0.00979358789237353,-2.009058174754565
0.6767447035402441,6.194913161057506,0.0214,0.13,0.000642,0.008881961113196878,-2.0514911325765497
0.7266277620203916,6.651542099379283,0.0214,0.13,0.000642,0.0079247180776568,-2.101016178888862
0.7922696863969284,7.252427513199396,0.0214,0.13,0.000642,0.006889425090460275,-2.1618170176363614
0.8862656355624695,8.112865340825593,0.0214,0.13,0.000642,0.005734260907941693,-2.2415225506114544
1.0344471814115015,9.469317491546304,0.0214,0.13,0.000642,0.0044394073192871465,-2.3526750062692194
1.271104446284967,11.635675347256248,0.0214,0.13,0.000642,0.003151050695247667,-2.5015446096824863
1.5971988334625113,14.620739582418038,0.0214,0.13,0.000642,0.0021517789288794773,-2.6672023495946613
1.0072880220294686e-05,9.202675248770908e-05,0.0214,0.13,0.000856,1.0,0.0
1.268100487928781e-05,0.00011585481727166907,0.0214,0.13,0.000856,0.9999990753260898,-4.015809624336172e-07
1.596443928962125e-05,0.00014585257354207397,0.0214,0.13,0.000856,0.9999973554792592,-1.148502283643252e-06
